category_code,category_name,attribute_code,attribute_name,is_primary,filter_operator
158,"Příslušenství ke stolním telefonům",,,,
160,Kalkulátory,893,"Typ kalkulačky",true,OR
161,"Podložky pod myš",850,"Velikost podložky",true,OR
162,"Servery - Intel Assembling",251,"Druh produktu",true,OR
163,"Příslušenství k VoIP telefonům",252,"Typ příslušenství k VoIP",true,OR
164,Skartovače,262,"Skartovaný materiál",true,AND
167,"Řezačky papíru",267,"Druh řezačky",true,OR
168,"Příslušenství k řezačkám papíru",269,"Typ příslušenství",true,OR
170,"IP telefonie",274,"Typ zařízení IP telefonie",true,OR
171,Konvertory,277,"Technologie konvertoru",true,OR
172,"Tiskové servery",864,Rozhraní,true,AND
173,Kamery,1073,Typ,true,OR
174,RouterBOARD,283,"Typ produktu",true,OR
175,"PoE, Powerline",,,,
176,"Příslušenství ke kamerám",282,"Typ příslušenství ke kamerám",true,OR
177,"Wi-Fi aktivní prvky",286,"Typ Wi-fi aktivního prvku",true,OR
179,"USB Flash Disky",8,"Kapacita (v GB)",true,OR
180,"Datové rozvaděče",291,"Typ datového rozvaděče",true,OR
181,"Příslušenství k rozvaděčům",293,"Typ příslušenství",true,OR
182,"ADSL, xDSL",300,Technologie,true,AND
183,"Routery a firewally",868,"Typ zařízení",true,OR
186,"Interaktivní tabule",857,"Typ zařízení",true,OR
189,Tablety,676,"Typ displeje",true,OR
190,"Ruční čtečky kódů",336,"Druh kódu",true,AND
191,"Fixní čtečky kódů",339,Umístění,true,OR
192,"Pokladní zásuvky",340,"Druh otevírání",true,OR
193,"Zákaznické displeje",67,Display,true,OR
194,"Čtečky/Zapisovačky karet a čipů",341,"Čtená média",true,AND
195,"Pokladní tiskárny",807,"Typ tiskárny",true,OR
196,"Datové terminály",185,WiFi,true,OR
197,"Tiskárny čárových kódů a etiket",343,"Druh tiskárny čárových kódů",true,AND
199,"Spotřební materiál a příslušenství",345,"Druh příslušenství k pokladním systémům",true,OR
200,"Programovatelné klávesnice",,,,
201,"Dotykové monitory",1617,"USB počet",true,OR
203,"Hry pro herní konzole",936,"Pro zařízení",true,OR
219,"Digitální fotorámečky",96,"Velikost úhlopříčky obrazovky (v palcích)",true,OR
223,"Komerční panely",15,"Úhlopříčka obrazovky",true,OR
224,"Světelné zdroje",641,"Typ světelného zdroje",true,OR
230,"Wi-Fi příslušenství",589,Druh,true,OR
241,"Hotelové televize",15,"Úhlopříčka obrazovky",true,OR
242,"3D tiskárny",955,Produkt,true,OR
243,"Spotřební materiál k 3D tiskárnám",622,"Typ materiálu",true,OR
244,"Děrovačky a sešívačky",818,"Typ zařízení",true,OR
245,"Příslušenství k děrovačkám  a sešívačkám",,,,
246,Laminátory,627,"Typ laminátoru",true,OR
247,"Laminovací fólie a kapsy",996,Produkt,true,OR
248,"Plánovací tabule a nástěnky",821,"Typ tabule",true,OR
249,"Optická kabeláž",633,"Typ vlákna",true,OR
252,"SFP Moduly",634,"Technologie SFP Modulu",true,OR
253,"Elektronika pro zdraví",813,"Typ elektroniky",true,OR
254,"Elektronika pro domácnost",814,"Typ elektroniky",true,OR
255,"Výrobky pro hraní a zábavu",1000,Produkt,true,OR
256,Multikoptéry,980,Produkt,true,OR
258,Kamery,,,,
259,Příslušenství,,,,
260,Pokladny,694,Typ,true,OR
262,"Příslušenství k Mobilům a Tabletům",663,Zařízení,true,AND
263,"Příslušenství k Navigacím",665,"Druh příslušenství",true,OR
264,"Nositelná elektronika",669,Zařízení,true,OR
267,Multikoptéry,,,,
268,"Selfie tyče a stabilizátory",,,,
270,Cyklonavigace,,,,
271,Wattmetry,,,,
272,Vysílačky,916,"Dosah vysílačky",true,OR
273,"Příslušenství k výrobkům pro sport",921,"Typ příslušenství",true,OR
274,"Kompasy a buzoly",1023,Produkt,true,OR
275,Cyklocomputery,,,,
276,Komunikace,752,"Typ zařízení",true,OR
277,"Meteostanice a teploměry",716,Napájení,true,OR
278,"Elektrické zubní kartáčky",1022,Produkt,true,OR
280,Pračky,777,Produkty,true,OR
281,"Sušičky prádla",778,Produkty,true,OR
282,Ledničky,779,Produkty,true,OR
283,Mrazničky,781,Produkty,true,OR
284,Vinotéky,782,Produkty,true,OR
285,"Myčky nádobí",783,Produkty,true,OR
286,Sporáky,785,Produkty,true,OR
287,"Vestavné trouby",787,Produkty,true,OR
288,"Varné desky",788,Produkty,true,OR
289,Digestoře,789,Produkty,true,OR
290,"Mikrovlné trouby",790,Produkty,true,OR
291,"Gastro zařízení",791,Produkty,true,OR
294,Dílna,760,Produkty,true,OR
295,Zahrada,761,Produkty,true,OR
296,Kuchyně,762,Produkty,true,OR
297,Koupelna,763,Produkty,true,OR
298,Topení,792,Produkty,true,OR
299,"Doplňky pro domácnost",764,Produkty,true,OR
301,Zabezpečení,765,Produkty,true,OR
302,"Světla a svítilny",766,Produkty,true,OR
304,"Grilování a party",768,"Druh spotřebiče",true,OR
305,"Remosky a elektrické hrnce",769,"Druh spotřebiče",true,OR
306,"Příprava nápojů",770,"Druh spotřebiče",true,OR
307,"Péče o dítě",771,Produkty,true,OR
309,"Péče o tělo",772,Produkty,true,OR
310,"Péče o prádlo",773,Produkty,true,OR
311,Úklid,774,Produkty,true,OR
312,Zdraví,775,Produkty,true,OR
313,"Klimatizace a ventilátory",776,Produkty,true,OR
315,Identifikace,817,"Typ identifikace",true,OR
316,Ergonomie,835,"Typ ergonomie",true,OR
317,"Jízdní kola a koloběžky",999,Produkt,true,OR
318,Elektromobilita,1099,Produkt,true,OR
320,Garáž,970,Produkt,true,OR
375,"Virtuální realita",803,"Příslušenství VR",true,OR
376,"PC hry",804,Žánr,true,OR
378,"TTR pásky",810,"Druh TTR pásky",true,OR
379,"Nálepky a RFID",811,"Druh nálepek",true,OR
380,"Počítačky mincí/bankovek",812,Produkt,true,OR
381,"Příslušenství k fotoaparátům",843,"Typ příslušenství",true,OR
382,"Video přehrávače a rekordéry",844,"Typ video zařízení",true,OR
383,Média,877,"Typ média",true,OR
384,All-in-One,179,"Druh optické mechaniky",true,OR
386,Hračky,952,"Druh hračky",true,OR
387,"Škola a volný čas",953,Druh,true,OR
388,"Servisní díly k NTB a UB",972,Druh,true,OR
390,"Péče o řasy",974,Produkt,true,OR
391,"Péče o rty",975,Produkt,true,OR
392,"Péče o pleť",976,Produkt,true,OR
393,"Péče o ruce",977,Produkt,true,OR
394,"Péče o vlasy",978,Produkt,true,OR
395,Parfémy,979,Produkt,true,OR
397,Líčení,989,Produkt,true,OR
398,"Úprava vlasů",988,Produkt,true,OR
399,"Pánské holení",990,Produkt,true,OR
400,"Dámské holení a epilace",991,Produkt,true,OR
401,"První pomoc",992,Produkt,true,OR
402,"Péče o zuby",993,Produkt,true,OR
403,"Dárkové sady a balíčky",994,Produkt,true,OR
404,"Péče o tělo",995,Produkt,true,OR
405,"Tašky pro notebooky a ultrabooky",823,Barva,true,OR
406,Vysavače,1018,Produkt,true,OR
407,"Robotické vysavače",1020,Produkt,true,OR
408,Autožárovky,1036,Produkt,true,OR
409,"Chytré osvětlení",1057,Produkt,true,OR
410,"Bytový textil",1090,Produkt,true,OR
411,Alkohotestery,1146,"Typ zařízení",true,OR
412,"Nabíječky autobaterií",1145,"Typ zařízení",true,OR
413,"Startovací kabely",,,,
414,"Chladničky do auta",,,,
415,"Doplňky do auta",,,,
416,"Smart doplňky do auta",,,,
417,Pneumatiky,,,,
418,"Zimní výbava",,,,
419,Interiér,,,,
420,"Střešní boxy a nosiče",,,,
422,Autokosmetika,,,,
423,"Vysokotlaké čističe",1152,Produkt,true,OR
424,"Čerpadla a vodárny",1150,"Typ čerpadla",true,OR
425,"Drtiče a štěpkovače",,,,
426,"Řetězové pily",1153,"Typ pohonu",true,OR
427,"Kultivátory a provzdušňovače",1155,"Typ stroje",true,OR
428,"Zahradní vysavače a fukary",,,,
429,"Nůžky na trávu a živý plot",1151,"Typ nůžek",true,OR
430,"Příslušenství k zahradnímu nářadí",,,,
431,Štípače,,,,
432,"Ostatní zahradní technika",1154,"Typ nářadí",true,OR
433,Vrtačky,1141,"Typ vrtačky",true,OR
434,Brusky,1140,"Typ brusky",true,OR
435,Frézy,1148,"Typ frézky",true,OR
436,Hoblíky,,,,
437,Pily,1122,"Typ pily",true,OR
438,"Elektrické šroubováky",,,,
439,"Kompresory a Svářečky",1125,"Typ zařízení",true,OR
440,"Akuvrtačky a Šroubováky",1124,"Typ aku nářadí",true,OR
441,"Horkovzdušné pistole",,,,
442,"Vrtací kladiva",1149,"Typ kladiva",true,OR
443,"Sety nářadí",1143,"Obsah sady",true,OR
444,"Ostatní elektrické nářadí",1130,"Typ nářadí",true,OR
445,"Příslušenství k el. nářadí",1131,"Typ příslušenství k elektronářadí",true,OR
446,"Ruční nářadí",1123,"Typ nářadí",true,OR
447,"Dílenské vybavení",1133,"Typ dílenského vybavení",true,OR
448,"Stavební stroje",1134,"Typ stavebního stroje",true,OR
449,"Plynové grily",,,,
450,"Elektrické grily",1137,"Typ grilu",true,OR
