ProId,Code,Name,waranty,endUserPrice,PartNumber,OnStock,OnStockText,ProducerName,EANCode,descriptionShort,description,img
1553871,1061686,"SAMSUNG MT LED LCD Monitor 34"" 34H890WGRXEN- prohnutý,VA,3440x1440,4ms,100Hz,HDMI,DisplayPort","24 Měsíc(ů)",15499.00,LC34H890WGRXEN,false,"0,00",Samsung,8806090980718,,,https://c.edsystem.cz/IMGCACHE/_1553/1553871_0a_3.jpg
1553872,1061687,"SAMSUNG MT LED LCD Monitor 22"" 22F350FHRXEN-plochý,TN,1920x1080,5ms,60Hz,HDMI","24 Měsíc(ů)",2348.00,LS22F350FHRXEN,false,"0,00",Samsung,8806090961953,,,https://c.edsystem.cz/IMGCACHE/_1553/1553872_0a_3.jpg
1553878,1061692,"SAMSUNG MT LED LCD Monitor 34"" 34J550WQRXEN-plochý,VA,3440x1440,4ms,75Hz,HDMI,DisplayPort","24 Měsíc(ů)",8887.00,LS34J550WQRXEN,true,100+,Samsung,8806090961083,,,https://c.edsystem.cz/IMGCACHE/_1553/1553878_0a_3.jpg
1553880,1061694,"Samsung MT LED LCD Monitor 28"" 28R550UQRXEN -plochý,3840x2160,5ms,60Hz,USBC,HDMI, DisplayPort","24 Měsíc(ů)",7234.00,LU28R550UQRXEN,true,50-99,Samsung,8806090961809,,,https://c.edsystem.cz/IMGCACHE/_1553/1553880_0a_3.jpg
1553881,1061695,"SAMSUNG MT LED LCD Monitor 32""32J590UQRXEN-plochý,VA,3840x2160,4ms,60Hz,HDMI, DisplayPort","24 Měsíc(ů)",6821.00,LU32J590UQRXEN,false,"0,00",Samsung,8806090961168,,,https://c.edsystem.cz/IMGCACHE/_1553/1553881_0a_3.jpg
1553882,1061696,"Samsung MT LED LCD Monitor 32"" 32R590CWRXEN -prohnutý, VA,3840x2160,4ms,60Hz,HDMI,DisplayPort","24 Měsíc(ů)",9714.00,LU32R590CWRXEN,true,100+,Samsung,8806090961823,,,https://c.edsystem.cz/IMGCACHE/_1553/1553882_0a_3.jpg
1553884,1061698,"Samsung MT LED LCD Monitor  24"" 24T400FHRXEN-plochý,IPS,1920x1080,4ms,75Hz,HDMI","36 Měsíc(ů)",2926.00,LF24T400FHRXEN,false,"0,00",Samsung,8806090961786,,,https://c.edsystem.cz/IMGCACHE/_1553/1553884_0a_3.jpg
1553885,1061699,"SAMSUNG MT LED LCD Monitor 24"" 24T350FHRXEN -plochý,IPS,5ms,1920x1080, 75Hz,HDMI","24 Měsíc(ů)",2844.00,LF24T350FHRXEN,false,"0,00",Samsung,8806090961892,,,https://c.edsystem.cz/IMGCACHE/_1553/1553885_0a_3.jpg
1553886,1061700,"SAMSUNG MT LED LCD Monitor 24"" 24T450FQRXEN-plochý,IPS,1920x1080,5ms,75Hz,HDMI,DisplayPort","24 Měsíc(ů)",3505.00,LF24T450FQRXEN,true,10-49,Samsung,8806090961762,,,https://c.edsystem.cz/IMGCACHE/_1553/1553886_0a_3.jpg
1553887,1061701,"SAMSUNG MT LED LCD Monitor 24"" 24T650FYRXEN-plochý,IPS,1920x1080,5ms,75Hz,HDMI,DisplayPort","24 Měsíc(ů)",4497.00,LF24T650FYRXEN,false,"0,00",Samsung,8806090962875,,,https://c.edsystem.cz/IMGCACHE/_1553/1553887_0a_3.jpg
1553891,1061705,"SAMSUNG MT LED LCD Monitor 27"" 27T350FHRXEN-plochý,IPS,1920x1080,5ms,75Hz,HDMI","24 Měsíc(ů)",3681.00,LF27T350FHRXEN,false,"0,00",Samsung,8806090961915,,,https://c.edsystem.cz/IMGCACHE/_1553/1553891_0a_3.jpg
1553892,1061706,"SAMSUNG MT LED LCD Monitor 27"" 27T450FQRXEN-plochý,IPS,1920x1080,5ms,75Hz,HDMI,DisplayPort","24 Měsíc(ů)",4342.00,LF27T450FQRXEN,false,"0,00",Samsung,8806090961748,,,https://c.edsystem.cz/IMGCACHE/_1553/1553892_0a_3.jpg
1553893,1061707,"SAMSUNG MT LED LCD Monitor 27"" 27T850QWRXEN-plochý,IPS,2560x14,4ms,75Hz,HDMI,DisplayPort,USB","24 Měsíc(ů)",7234.00,LF27T850QWRXEN,false,"0,00",Samsung,8806090961731,,,https://c.edsystem.cz/IMGCACHE/_1553/1553893_0a_3.jpg
1553894,1061708,"Samsung MT LED LCD Monitor 32"" 32TU870VRXEN-plochý,IPS,2560x1440,5ms,75Hz,HDMI,DisplayPort","24 Měsíc(ů)",13846.00,LF32TU870VRXEN,true,"2,00",Samsung,8806090961793,,,https://c.edsystem.cz/IMGCACHE/_1553/1553894_0a_3.jpg
1553895,1061709,"Samsung MT LED LCD Monitor 49"" 49J890DKRXEN-prohnutý,VA,3840x1080,5ms,144Hz,HDMI,USBC","36 Měsíc(ů)",17978.00,LC49J890DKRXEN,false,"0,00",Samsung,8806092002197,,,https://c.edsystem.cz/IMGCACHE/_1553/1553895_0a_3.jpg
1553912,1061711,"Samsung MT LED LCD Gaming Monitor 24"" 24G35TFWUXEN-VA,1920 x 1080,1ms,144Hz,HDMI,DisplayPort","36 Měsíc(ů)",4342.00,LF24G35TFWUXEN,false,"0,00",Samsung,8806090759819,,,https://c.edsystem.cz/IMGCACHE/_1553/1553912_0a_3.jpg
1553913,1061712,"Samsung  MT LED LCD Gaming Monitor 27"" 27G35TFWUXEN-plochý,VA,1920x1080,1ms,144Hz,HDMI,DisplayPort","36 Měsíc(ů)",5995.00,LF27G35TFWUXEN,true,50-99,Samsung,8806090759956,,,https://c.edsystem.cz/IMGCACHE/_1553/1553913_0a_3.jpg
1553914,1061713,"Samsung MT LED LCD Monitor 24"" 24A310NHUXEN-plochý,VA,1920x1080,9ms,60Hz,HDMI","36 Měsíc(ů)",2844.00,LS24A310NHUXEN,true,10-49,Samsung,8806090760662,,,https://c.edsystem.cz/IMGCACHE/_1553/1553914_0a_3.jpg
1553915,1061714,"Samsung MT LED LCD Monitor 27"" 27A700NWUXEN-plochý,IPS,3840x2160,5ms,60Hz,HDMI,DisplayPort","36 Měsíc(ů)",8061.00,LS27A700NWUXEN,true,50-99,Samsung,8806090952524,,,https://c.edsystem.cz/IMGCACHE/_1553/1553915_0a_3.jpg
1553916,1061715,"Samsung F27T700QQU","36 Měsíc(ů)",6437.00,LF27T700QQUXEN,false,"0,00",Samsung,8806090801273,,,https://c.edsystem.cz/IMGCACHE/_1553/1553916_0a_3.jpg
1553917,1061716,"Samsung MT LED LCD Monitor 32"" 32A600NWUXEN-plochý,VA,2560x1440,5ms,75Hz,HDMI,DisplayPort,USB3","36 Měsíc(ů)",8061.00,LS32A600NWUXEN,true,50-99,Samsung,8806090952647,,,https://c.edsystem.cz/IMGCACHE/_1553/1553917_0a_3.jpg
1553918,1061717,"Samsung MT LED LCD Minitor 27"" 27A800NMUXEN-plochý,IPS,3840x2160,5ms,60Hz,HDMI,DisplayPort","36 Měsíc(ů)",9300.00,LS27A800NMUXEN,true,10-49,Samsung,8806090989063,,,https://c.edsystem.cz/IMGCACHE/_1553/1553918_0a_3.jpg
1553919,1061718,"Samsung MT LED LCD Monitor 34"" 34A650UXUXEN-prohnutý,VA,3440x1440,5ms,100Hz,HDMI,DisplayPort,USB3","36 Měsíc(ů)",13019.00,LS34A650UXUXEN,false,"0,00",Samsung,8806090952654,,,https://c.edsystem.cz/IMGCACHE/_1553/1553919_0a_3.jpg
1553921,1061719,"Samsung MT LED LCD Monitor 27"" 27A600UUUXEN-plochý,IPS,2560x1440,5ms,75Hz,HDMI,DisplayPort, USB-C","36 Měsíc(ů)",8061.00,LS27A600UUUXEN,false,"0,00",Samsung,8806090952630,,,https://c.edsystem.cz/IMGCACHE/_1553/1553921_0a_3.jpg
1553922,1061720,"Samsung MT LED LCD Monitor 27"" 27A600NWUXEN-plochý,IPS,2560x1440,5ms,75Hz,HDMI,DisplayPort,USB","36 Měsíc(ů)",7234.00,LS27A600NWUXEN,false,"0,00",Samsung,8806090952623,,,https://c.edsystem.cz/IMGCACHE/_1553/1553922_0a_3.jpg
